REPORTED_NAME,RIVERFLY_GROUP
Apataniidae,Cased caddis
Beraeidae,Cased caddis
Brachycentridae,Cased caddis
Baetidae,Olives
Capniidae,Stoneflies
Chloroperlidae,Stoneflies
Crangonyctidae,Gammarus
Ephemerellidae,Blue winged olives
Ephemeridae,True Mayflies
Gammaridae,Gammarus
Glossosomatidae,Caseless caddis
Goeridae,Cased caddis
Heptageniidae,Flat bodied
Hydropsychidae,Caseless caddis
Hydroptilidae,Cased caddis
Lepidostomatidae,Cased caddis
Leptoceridae,Cased caddis
Leuctridae,Stoneflies
Limnephilidae,Cased caddis
Molannidae,Cased caddis
Nemouridae,Stoneflies
Niphargidae,Gammarus
Odontoceridae,Cased caddis
Perlidae,Stoneflies
Perlodidae,Stoneflies
Philopotamidae,Caseless caddis
Phryganeidae,Cased caddis
Polycentropodidae,Caseless caddis
Potamanthidae,Caseless caddis
Psychomyiidae,Caseless caddis
Rhyacophilidae,Caseless caddis
Sericostomatidae,Cased caddis
Taeniopterygidae,Stoneflies
